Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
17,1,C0603X102KCRAC3316,Charging stations  LCD fluorescent backlight ballasts  Voltage multiplier circuits  DC/DC converters  Power supply  LAN/WAN interface  High voltage decoupling  Filters  DC blocking  ESD Protection,(C_1nF0603)C0603X102KCRAC3316,C16(1NF),,,519,,,
18,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C17(0.1UF),KEMET,C0603G104K5RACT250,45,,,
19,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C18(6.8UF),Kyocera AVX,TAJA685K020R,456,,,
20,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",(0.1uF)C0603G104K5RACT250,C19(0.1UF),KEMET,C0603G104K5RACT250,441,,,
21,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C20(6.8UF),Kyocera AVX,TAJA685K020R,72,,,
22,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C21(0.1UF),KEMET,C0603G104K5RACT250,245,,,
23,1,C0603X102KCRAC3316,Charging stations  LCD fluorescent backlight ballasts  Voltage multiplier circuits  DC/DC converters  Power supply  LAN/WAN interface  High voltage decoupling  Filters  DC blocking  ESD Protection,(C_1nF0603)C0603X102KCRAC3316,C22(1NF),,,522,,,
24,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",(0.1uF)C0603G104K5RACT250,C24(0.1UF),KEMET,C0603G104K5RACT250,459,,,
25,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C25(6.8UF),Kyocera AVX,TAJA685K020R,140,,,
26,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C26(0.1UF),KEMET,C0603G104K5RACT250,178,,,
27,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C27(6.8UF),Kyocera AVX,TAJA685K020R,465,,,
28,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C28(0.1UF),KEMET,C0603G104K5RACT250,131,,,
29,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C29(6.8UF),Kyocera AVX,TAJA685K020R,468,,,
30,1,C0603X102KCRAC3316,Charging stations  LCD fluorescent backlight ballasts  Voltage multiplier circuits  DC/DC converters  Power supply  LAN/WAN interface  High voltage decoupling  Filters  DC blocking  ESD Protection,(C_1nF0603)C0603X102KCRAC3316,C30(1NF),,,550,,,
