Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
255,1,OPA695,,,U77,,,1577,,,
256,1,OPAx277,,,U78,,,1485,,,
257,1,TLV3604,,,U79,,,1491,,,
258,1,OPAx277,,,U80,,,1586,,,
259,1,TLV3604,,,U81,,,1669,,,
260,1,OPAx277,,,U82,,,1630,,,
261,1,OPA855,,,U83,,,1693,,,
262,1,OPA695,,,U84,,,1835,,,
263,1,OPAx277,,,U85,,,1780,,,
264,1,TLV3604,,,U86,,,1850,,,
265,1,OPAx277,,,U87,,,1732,,,
266,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,U88,Marktech Optoelectronics,MTAPD-06-013,2028,,,
267,1,TS7Y502KR32,"5 kOhms 0.5W, 1/2W Gull Wing Surface Mount Trimmer Potentiometer Cermet 1.0 Turn Top Adjustment",TS7Y502KR32,VR1,Vishay,TS7Y502KR32,1946,,,
